Date,Open,High,Low,Close,Adj Close,Volume
2026-01-13,185.81,185.81,185.81,185.81,0.0,0
2026-01-14,183.14,183.14,183.14,183.14,0.0,0
2026-01-15,187.05,187.05,187.05,187.05,0.0,0
2026-01-16,186.23,186.23,186.23,186.23,0.0,0
2026-01-20,178.07,178.07,178.07,178.07,0.0,0
2026-01-21,183.32,183.32,183.32,183.32,0.0,0
2026-01-22,184.84,184.84,184.84,184.84,0.0,0
2026-01-23,187.67,187.67,187.67,187.67,0.0,0
2026-01-26,186.47,186.47,186.47,186.47,0.0,0
2026-01-27,188.52,188.52,188.52,188.52,0.0,0
2026-01-28,191.52,191.52,191.52,191.52,0.0,0
2026-01-29,192.51,192.51,192.51,192.51,0.0,0
2026-01-30,191.13,191.13,191.13,191.13,0.0,0
2026-02-02,185.61,185.61,185.61,185.61,0.0,0
2026-02-03,180.34,180.34,180.34,180.34,0.0,0
2026-02-04,174.19,174.19,174.19,174.19,0.0,0
2026-02-05,171.88,171.88,171.88,171.88,0.0,0
2026-02-06,185.41,185.41,185.41,185.41,0.0,0
2026-02-09,190.04,190.04,190.04,190.04,0.0,0
2026-02-10,188.54,188.54,188.54,188.54,0.0,0
2026-02-11,190.05,190.05,190.05,190.05,0.0,0
2026-02-12,186.94,186.94,186.94,186.94,0.0,0
2026-02-13,182.81,182.81,182.81,182.81,0.0,0
2026-02-17,184.97,184.97,184.97,184.97,0.0,0
2026-02-18,187.98,187.98,187.98,187.98,0.0,0
2026-02-19,187.9,187.9,187.9,187.9,0.0,0
2026-02-20,189.82,189.82,189.82,189.82,0.0,0
2026-02-23,191.55,191.55,191.55,191.55,0.0,0
2026-02-24,192.85,192.85,192.85,192.85,0.0,0
2026-02-25,195.56,195.56,195.56,195.56,0.0,0
2026-02-26,184.89,184.89,184.89,184.89,0.0,0
2026-02-27,177.19,177.19,177.19,177.19,0.0,0
2026-03-02,182.48,182.48,182.48,182.48,0.0,0
2026-03-03,180.05,180.05,180.05,180.05,0.0,0
2026-03-04,183.04,183.04,183.04,183.04,0.0,0
2026-03-05,183.34,183.34,183.34,183.34,0.0,0
2026-03-06,177.82,177.82,177.82,177.82,0.0,0
2026-03-09,182.65,182.65,182.65,182.65,0.0,0
2026-03-10,184.77,184.77,184.77,184.77,0.0,0
2026-03-11,186.03,186.03,186.03,186.03,0.0,0
2026-03-12,183.14,183.14,183.14,183.14,0.0,0
2026-03-13,180.25,180.25,180.25,180.25,0.0,0
2026-03-16,183.22,183.22,183.22,183.22,0.0,0
2026-03-17,181.93,181.93,181.93,181.93,0.0,0
2026-03-18,180.4,180.4,180.4,180.4,0.0,0
2026-03-19,178.56,178.56,178.56,178.56,0.0,0
2026-03-20,172.7,172.7,172.7,172.7,0.0,0
2026-03-23,175.64,175.64,175.64,175.64,0.0,0
2026-03-24,175.2,175.2,175.2,175.2,0.0,0
2026-03-25,178.68,178.68,178.68,178.68,0.0,0
2026-03-26,171.24,171.24,171.24,171.24,0.0,0
2026-03-27,167.52,167.52,167.52,167.52,0.0,0
2026-03-30,165.17,165.17,165.17,165.17,0.0,0
2026-03-31,174.4,174.4,174.4,174.4,0.0,0
2026-04-01,175.75,175.75,175.75,175.75,0.0,0
2026-04-02,177.39,177.39,177.39,177.39,0.0,0
2026-04-06,177.64,177.64,177.64,177.64,0.0,0
2026-04-07,178.1,178.1,178.1,178.1,0.0,0
2026-04-08,182.08,182.08,182.08,182.08,0.0,0
2026-04-09,183.91,183.91,183.91,183.91,0.0,0
2026-04-10,188.63,188.63,188.63,188.63,0.0,0
2026-04-13,189.31,189.31,189.31,189.31,0.0,0
2026-04-14,196.51,196.51,196.51,196.51,0.0,0
2026-04-15,198.87,198.87,198.87,198.87,0.0,0
2026-04-16,198.35,198.35,198.35,198.35,0.0,0
2026-04-17,201.68,201.68,201.68,201.68,0.0,0
2026-04-20,202.06,202.06,202.06,202.06,0.0,0
2026-04-21,199.88,199.88,199.88,199.88,0.0,0
2026-04-22,202.5,202.5,202.5,202.5,0.0,0
2026-04-23,199.64,199.64,199.64,199.64,0.0,0
2026-04-24,208.27,208.27,208.27,208.27,0.0,0
2026-04-27,216.61,216.61,216.61,216.61,0.0,0
2026-04-28,213.17,213.17,213.17,213.17,0.0,0
2026-04-29,209.25,209.25,209.25,209.25,0.0,0
2026-04-30,199.57,199.57,199.57,199.57,0.0,0
2026-05-01,198.45,198.45,198.45,198.45,0.0,0
2026-05-04,198.48,198.48,198.48,198.48,0.0,0
2026-05-05,196.5,196.5,196.5,196.5,0.0,0
2026-05-06,207.83,207.83,207.83,207.83,0.0,0
2026-05-07,211.5,211.5,211.5,211.5,0.0,0
2026-05-08,215.2,215.2,215.2,215.2,0.0,0
