Date,Close
2019-04-15,14.822
2019-04-16,14.974
2019-04-17,14.834
2019-04-18,14.752
2019-04-23,14.88
2019-04-24,14.904
2019-04-25,14.772
2019-04-26,14.954
2019-04-29,14.948
2019-04-30,14.936
2019-05-02,14.894
2019-05-03,14.92
2019-05-06,14.802
2019-05-07,14.928
2019-05-08,14.85
2019-05-09,14.93
2019-05-10,14.89
2019-05-13,14.888
2019-05-14,14.708
2019-05-15,14.802
2019-05-16,14.814
2019-05-17,15.134
2019-05-20,15.21
2019-05-21,15.3
2019-05-22,15.074
2019-05-23,14.95
2019-05-24,15.076
2019-05-27,15.088
2019-05-28,15.186
2019-05-29,15.14
2019-05-30,15.164
2019-05-31,15.12
2019-06-03,15.092
2019-06-04,15.162
2019-06-05,15.232
2019-06-06,15.29
2019-06-07,15.35
2019-06-11,15.45
2019-06-12,15.28
2019-06-13,15.5
2019-06-14,15.394
2019-06-17,15.392
2019-06-18,15.43
2019-06-19,15.63
2019-06-20,15.564
2019-06-21,15.448
2019-06-24,15.426
2019-06-25,15.314
2019-06-26,15.27
2019-06-27,15.27
2019-06-28,15.158
2019-07-01,15.34
2019-07-02,15.276
2019-07-03,15.26
2019-07-04,15.41
2019-07-05,15.548
2019-07-08,15.4
2019-07-09,15.43
2019-07-10,15.448
2019-07-11,15.412
2019-07-12,15.31
2019-07-15,15.204
2019-07-16,15.04
2019-07-17,14.95
2019-07-18,14.726
2019-07-19,14.79
2019-07-22,14.638
2019-07-23,14.76
2019-07-24,14.812
2019-07-25,14.866
2019-07-26,14.788
2019-07-29,14.944
2019-07-30,15.154
2019-07-31,14.92
2019-08-01,14.88
2019-08-02,14.96
2019-08-05,14.73
2019-08-06,14.75
2019-08-07,14.64
2019-08-08,14.5
2019-08-09,14.45
2019-08-12,14.46
2019-08-13,14.486
2019-08-14,14.61
2019-08-15,14.504
2019-08-16,14.656
2019-08-19,14.974
2019-08-20,14.99
2019-08-21,14.9
2019-08-22,14.828
2019-08-23,14.85
2019-08-26,14.752
2019-08-27,14.872
2019-08-28,14.906
2019-08-29,14.91
2019-08-30,15.14
2019-09-02,15.15
2019-09-03,15.256
2019-09-04,15.26
2019-09-05,15.222
2019-09-06,15.088
2019-09-09,15.09
2019-09-10,15.054
2019-09-11,15.084
2019-09-12,15.084
2019-09-13,15.184
2019-09-16,15.108
2019-09-17,15.156
2019-09-18,15.114
2019-09-19,15.21
2019-09-20,15.278
2019-09-23,15.36
2019-09-24,15.406
2019-09-25,15.286
2019-09-26,15.296
2019-09-27,15.45
2019-09-30,15.33
2019-10-01,15.4
2019-10-02,15.332
2019-10-04,15.094
2019-10-07,15.064
2019-10-08,15.25
2019-10-09,15.274
2019-10-10,15.354
2019-10-11,15.314
2019-10-14,15.446
2019-10-15,15.558
2019-10-16,15.728
2019-10-17,15.686
2019-10-18,15.858
2019-10-21,15.94
2019-10-22,15.992
2019-10-23,16.134001
2019-10-24,16.216
2019-10-25,16.006001
2019-10-28,15.968
2019-10-29,15.942
2019-10-30,15.712
2019-10-31,15.704
2019-11-01,15.85
2019-11-04,15.674
2019-11-05,15.686
2019-11-06,15.606
2019-11-07,15.45
2019-11-08,15.32
2019-11-11,15.32
2019-11-12,15.332
2019-11-13,15.354
2019-11-14,15.25
2019-11-15,15.23
2019-11-18,15.214
2019-11-19,15.236
2019-11-20,15.136
2019-11-21,15.102
2019-11-22,15.102
2019-11-25,15.11
2019-11-26,15.08
2019-11-27,15.052
2019-11-28,15.22
2019-11-29,15.2
2019-12-02,15.3
2019-12-03,14.972
2019-12-04,14.948
2019-12-05,15.064
2019-12-06,15.022
2019-12-09,15.05
2019-12-10,14.968
2019-12-11,14.892
2019-12-12,14.932
2019-12-13,14.93
2019-12-16,14.84
2019-12-17,14.864
2019-12-18,14.84
2019-12-19,14.786
2019-12-20,14.734
2019-12-23,14.756
2019-12-27,14.758
2019-12-30,14.732
2020-01-02,14.598
2020-01-03,14.57
2020-01-06,14.58
2020-01-07,14.576
2020-01-08,14.564
2020-01-09,14.61
2020-01-10,14.818
2020-01-13,14.82
2020-01-14,14.642
2020-01-15,14.668
2020-01-16,14.674
2020-01-17,14.718
2020-01-20,14.63
2020-01-21,14.708
2020-01-22,14.924
2020-01-23,14.848
2020-01-24,14.672
2020-01-27,14.726
2020-01-28,14.65
2020-01-29,14.868
2020-01-30,14.688
2020-01-31,14.676
2020-02-03,14.678
2020-02-04,14.684
2020-02-05,14.648
2020-02-06,14.748
2020-02-07,14.822
2020-02-10,14.934
2020-02-11,15.45
2020-02-12,15.454
2020-02-13,15.512
2020-02-14,15.534
2020-02-17,15.676
2020-02-18,15.59
2020-02-19,16.15
2020-02-20,16.549999
2020-02-21,16.6
2020-02-24,16.233999
2020-02-25,16.26
2020-02-26,15.804
2020-02-27,15.5
2020-02-28,14.98
2020-03-02,14.764
2020-03-03,14.95
2020-03-04,14.774
2020-03-05,15.104
2020-03-06,14.83
2020-03-09,14.038
2020-03-10,13.784
2020-03-11,13.2
2020-03-12,12.312
2020-03-13,11.996
2020-03-16,11.09
2020-03-17,11.328
2020-03-18,11.1
2020-03-19,10.954
2020-03-20,12.058
2020-03-23,11.724
2020-03-24,11.836
2020-03-25,12.312
2020-03-26,11.782
2020-03-27,11.68
2020-03-30,11.81
2020-03-31,12.212
2020-04-01,11.525
2020-04-02,11.6
2020-04-03,11.64
2020-04-06,11.94
2020-04-07,12.5
2020-04-08,12.305
2020-04-09,12.35
2020-04-14,12.485
2020-04-15,12.48
2020-04-16,12.285
2020-04-17,12.52
2020-04-20,12.635
2020-04-21,12.6
2020-04-22,12.28
2020-04-23,12.55
2020-04-24,12.44
2020-04-27,12.8
2020-04-28,12.97
2020-04-29,13.0
2020-04-30,13.45
2020-05-04,13.095
2020-05-05,13.03
2020-05-06,13.035
2020-05-07,13.055
2020-05-08,13.535
2020-05-11,13.75
2020-05-12,13.505
2020-05-13,13.6
2020-05-14,13.555
2020-05-15,13.82
2020-05-18,13.82
2020-05-19,14.13
2020-05-20,13.495
2020-05-21,13.61
2020-05-22,13.5
2020-05-25,13.695
2020-05-26,13.92
2020-05-27,13.86
2020-05-28,14.22
2020-05-29,14.3
2020-06-02,14.4
2020-06-03,14.725
2020-06-04,14.99
2020-06-05,15.115
2020-06-08,15.11
2020-06-09,15.25
2020-06-10,15.265
2020-06-11,15.015
2020-06-12,14.54
2020-06-15,14.435
2020-06-16,14.84
2020-06-17,15.07
2020-06-18,15.3
2020-06-19,15.42
2020-06-22,14.765
2020-06-23,14.955
2020-06-24,14.94
2020-06-25,14.66
2020-06-26,14.815
2020-06-29,14.565
2020-06-30,14.83
