Date,Close
2018-05-14,30.700001
2018-05-15,30.35
2018-05-16,30.52
2018-05-17,30.77
2018-05-18,30.790001
2018-05-21,30.709999
2018-05-22,30.879999
2018-05-23,30.129999
2018-05-24,30.26
2018-05-25,29.49
2018-05-29,28.860001
2018-05-30,29.969999
2018-05-31,29.75
2018-06-01,30.309999
2018-06-04,30.1
2018-06-05,29.700001
2018-06-06,29.879999
2018-06-07,29.860001
2018-06-08,29.969999
2018-06-11,29.49
2018-06-12,29.76
2018-06-13,30.1
2018-06-14,30.5
2018-06-15,31.450001
2018-06-18,29.99
2018-06-19,31.0
2018-06-20,29.09
2018-06-21,29.07
2018-06-22,28.700001
2018-06-25,28.219999
2018-06-26,28.18
2018-06-27,28.059999
2018-06-28,27.209999
2018-06-29,27.790001
2018-07-02,27.51
2018-07-03,27.809999
2018-07-05,27.549999
2018-07-06,27.48
2018-07-09,27.74
2018-07-10,27.889999
2018-07-11,27.049999
2018-07-12,27.07
2018-07-13,27.26
2018-07-16,27.49
2018-07-17,26.969999
2018-07-18,27.15
2018-07-19,26.77
2018-07-20,26.84
2018-07-23,27.120001
2018-07-24,27.32
2018-07-25,27.16
2018-07-26,27.68
2018-07-27,28.15
2018-07-30,27.91
2018-07-31,27.76
2018-08-01,27.879999
2018-08-02,27.459999
2018-08-03,27.620001
2018-08-06,27.4
2018-08-07,27.99
2018-08-08,27.799999
2018-08-09,27.700001
2018-08-10,26.67
2018-08-13,23.67
2018-08-14,23.9
2018-08-15,22.879999
2018-08-16,21.559999
2018-08-17,22.450001
2018-08-20,23.139999
2018-08-21,23.950001
2018-08-22,24.27
2018-08-23,23.83
2018-08-24,23.639999
2018-08-27,23.889999
2018-08-28,24.09
2018-08-29,23.99
2018-08-30,23.85
2018-08-31,23.559999
2018-09-04,23.09
2018-09-05,22.870001
2018-09-06,22.26
2018-09-07,20.940001
2018-09-10,21.219999
2018-09-11,20.43
2018-09-12,20.35
2018-09-13,20.42
2018-09-14,20.82
2018-09-17,21.07
2018-09-18,21.219999
2018-09-19,21.58
2018-09-20,22.52
2018-09-21,22.450001
2018-09-24,22.530001
2018-09-25,22.440001
2018-09-26,22.379999
2018-09-27,22.870001
2018-09-28,22.120001
2018-10-01,22.0
2018-10-02,21.549999
2018-10-03,21.6
2018-10-04,21.940001
2018-10-05,21.620001
2018-10-08,21.83
2018-10-09,21.25
2018-10-10,21.799999
2018-10-11,22.559999
2018-10-12,22.360001
2018-10-15,22.5
2018-10-16,22.559999
2018-10-17,22.57
2018-10-18,22.59
2018-10-19,22.35
2018-10-22,22.139999
2018-10-23,19.389999
2018-10-24,19.76
2018-10-25,18.780001
2018-10-26,18.99
2018-10-29,19.370001
2018-10-30,18.98
2018-10-31,19.16
2018-11-01,19.610001
2018-11-02,20.200001
2018-11-05,20.110001
2018-11-06,20.07
2018-11-07,20.549999
2018-11-08,20.309999
2018-11-09,20.059999
2018-11-12,19.469999
2018-11-13,18.68
2018-11-14,18.73
2018-11-15,18.059999
2018-11-16,17.83
2018-11-19,18.02
2018-11-20,17.48
2018-11-21,17.66
2018-11-23,17.700001
2018-11-26,18.1
2018-11-27,17.93
2018-11-28,18.129999
2018-11-29,18.049999
2018-11-30,18.549999
2018-12-03,18.879999
2018-12-04,18.690001
2018-12-06,18.030001
2018-12-07,17.860001
2018-12-10,17.73
2018-12-11,18.07
2018-12-12,18.16
2018-12-13,18.139999
2018-12-14,18.08
2018-12-17,17.82
2018-12-18,18.110001
2018-12-19,17.83
2018-12-20,17.57
2018-12-21,17.23
2018-12-24,17.32
2018-12-26,17.110001
2018-12-27,16.9
2018-12-28,17.33
2018-12-31,17.549999
2019-01-02,17.200001
2019-01-03,17.43
2019-01-04,18.200001
2019-01-07,18.370001
2019-01-08,18.879999
2019-01-09,19.059999
2019-01-10,18.799999
2019-01-11,18.67
2019-01-14,18.6
2019-01-15,18.559999
2019-01-16,18.57
2019-01-17,18.280001
2019-01-18,18.799999
2019-01-22,18.48
2019-01-23,18.809999
2019-01-24,18.700001
2019-01-25,19.23
2019-01-28,19.059999
2019-01-29,18.940001
2019-01-30,18.809999
2019-01-31,18.860001
2019-02-01,19.09
2019-02-04,19.27
2019-02-05,19.540001
2019-02-06,19.67
2019-02-07,19.23
2019-02-08,18.799999
2019-02-11,18.790001
2019-02-12,19.129999
2019-02-13,19.24
2019-02-14,18.76
2019-02-15,19.040001
2019-02-19,19.18
2019-02-20,19.25
2019-02-21,19.309999
2019-02-22,19.200001
2019-02-25,19.190001
2019-02-26,18.940001
2019-02-27,19.950001
2019-02-28,19.85
2019-03-01,20.450001
2019-03-04,20.559999
2019-03-05,20.559999
2019-03-06,20.66
2019-03-07,20.120001
2019-03-08,19.5
2019-03-11,19.290001
2019-03-12,19.07
2019-03-13,19.049999
2019-03-14,18.98
2019-03-15,19.299999
2019-03-18,19.17
2019-03-19,19.700001
2019-03-20,17.52
2019-03-21,17.360001
2019-03-22,17.01
2019-03-25,16.24
2019-03-26,16.07
2019-03-27,15.98
2019-03-28,15.7
2019-03-29,16.02
2019-04-01,16.33
2019-04-02,16.5
2019-04-03,16.889999
2019-04-04,17.08
2019-04-05,17.24
2019-04-08,17.35
2019-04-09,17.139999
2019-04-10,17.24
2019-04-11,17.110001
2019-04-12,17.360001
2019-04-15,17.35
2019-04-16,17.58
2019-04-17,17.52
2019-04-18,17.17
2019-04-22,17.190001
2019-04-23,17.34
2019-04-24,16.950001
2019-04-25,17.18
2019-04-26,17.299999
2019-04-29,16.610001
2019-04-30,16.74
2019-05-01,16.790001
2019-05-02,17.32
2019-05-03,17.35
2019-05-06,17.059999
2019-05-07,16.860001
2019-05-08,16.66
2019-05-09,16.15
2019-05-10,16.26
2019-05-13,15.9
2019-05-14,15.48
2019-05-15,15.55
2019-05-16,15.89
2019-05-17,15.83
2019-05-20,15.55
2019-05-21,15.7
2019-05-22,15.52
2019-05-23,15.13
2019-05-24,15.1
2019-05-28,15.44
2019-05-29,15.06
2019-05-30,15.04
2019-05-31,14.68
2019-06-03,14.93
2019-06-04,15.39
2019-06-05,15.28
2019-06-06,15.09
2019-06-07,15.02
2019-06-10,15.04
2019-06-11,15.3
2019-06-12,15.09
2019-06-13,15.09
2019-06-14,14.93
2019-06-17,14.67
2019-06-18,15.0
2019-06-19,15.39
2019-06-20,15.82
2019-06-21,15.5
2019-06-24,15.7
2019-06-25,15.75
2019-06-26,15.97
2019-06-27,17.23
2019-06-28,17.360001
2019-07-01,17.629999
2019-07-02,17.1
2019-07-03,17.33
2019-07-05,17.17
2019-07-08,16.83
2019-07-09,16.610001
2019-07-10,16.860001
2019-07-11,16.82
2019-07-12,16.65
2019-07-15,16.51
2019-07-16,16.67
2019-07-17,16.68
2019-07-18,16.620001
2019-07-19,16.67
2019-07-22,16.799999
2019-07-23,17.07
2019-07-24,16.809999
2019-07-25,16.84
2019-07-26,16.66
2019-07-29,16.620001
2019-07-30,15.84
2019-07-31,16.33
2019-08-01,16.610001
2019-08-02,16.379999
2019-08-05,15.83
2019-08-06,15.72
2019-08-07,16.51
2019-08-08,17.02
2019-08-09,18.129999
2019-08-12,17.91
2019-08-13,18.059999
2019-08-14,18.15
2019-08-15,17.49
2019-08-16,17.74
2019-08-19,18.469999
2019-08-20,18.4
2019-08-21,18.639999
2019-08-22,18.780001
2019-08-23,18.58
2019-08-26,18.51
2019-08-27,18.66
2019-08-28,18.41
2019-08-29,18.690001
2019-08-30,18.709999
2019-09-03,18.23
2019-09-04,18.639999
2019-09-05,18.48
2019-09-06,18.469999
2019-09-09,18.59
2019-09-10,18.99
2019-09-11,19.08
2019-09-12,18.68
2019-09-13,18.950001
2019-09-16,18.790001
2019-09-17,18.41
2019-09-18,18.379999
2019-09-19,18.530001
2019-09-20,18.6
2019-09-23,18.17
2019-09-24,18.24
2019-09-25,18.190001
2019-09-26,17.77
